,T_component,T_ambient,bus_voltage,bus_current,label_anomaly,alert_rule,alert_z,alert_combined
2025-08-15 03:00:00,35.233598579758464,28.5703572057259,7.78352129026056,0.8643670428024742,0,0,0,0
2025-08-15 03:00:01,35.76095043732872,27.981801755855614,7.785617810971016,1.0880803024234593,0,0,0,0
2025-08-15 03:00:02,36.26239551675642,27.78747796992686,7.840996241915718,1.1160309469590917,0,0,0,0
2025-08-15 03:00:03,36.19824847320699,27.545885682216152,7.800013656379149,1.1027328081876775,0,0,0,0
2025-08-15 03:00:04,35.27042049951153,27.459058097123215,7.815642600030629,1.0744538006066204,0,0,0,0
2025-08-15 03:00:05,35.745550971244874,27.524759217098353,7.7841820123666485,1.1001881946855325,0,0,0,0
2025-08-15 03:00:06,36.5019927492576,28.080137995303446,7.784402941075567,1.0540539405426907,0,0,0,0
2025-08-15 03:00:07,36.47937374402307,28.15261750696898,7.821639696184999,1.134508021876949,0,0,0,0
2025-08-15 03:00:08,35.294619734044744,27.52564278939036,7.773008475768969,1.0938414794151126,0,0,0,0
2025-08-15 03:00:09,36.30569745911356,28.268511494222835,7.791695724641895,1.1335564983276598,0,0,0,0
2025-08-15 03:00:10,36.20648651388179,27.85508168449497,7.800680548221444,1.0842040493871188,0,0,0,0
2025-08-15 03:00:11,35.51926687669127,28.044037903595665,7.802227452036801,1.0842927203478026,0,0,0,0
2025-08-15 03:00:12,35.574049353753104,28.483666188476626,7.796418134299676,1.0770743964008647,0,0,0,0
2025-08-15 03:00:13,34.93294431054354,28.26905179475966,7.807916395621918,1.1262852179507923,0,0,0,0
2025-08-15 03:00:14,35.113534108837634,27.919440805628252,7.813857115116356,1.0787170652801459,0,0,0,0
2025-08-15 03:00:15,35.716031957055336,27.732642332375413,7.814692750909186,1.1193378629724553,0,0,0,0
2025-08-15 03:00:16,35.247018869406716,27.35445537960121,7.7802839238266435,1.0885264280699214,0,0,0,0
2025-08-15 03:00:17,36.31449856657494,27.784254004227275,7.794316898041424,1.0407211010032515,0,0,0,0
2025-08-15 03:00:18,35.158157291039494,27.936660928351692,7.823895257237538,1.0828905779664062,0,0,0,0
2025-08-15 03:00:19,34.80027723142268,27.703846141854644,7.8178929437514775,1.0646267535691147,0,0,0,0
2025-08-15 03:00:20,36.662937113640446,27.96062290987231,7.7725428109703785,1.1010170817104703,0,0,0,0
2025-08-15 03:00:21,35.14103422200383,28.02305556488763,7.807029598007044,1.0642877679297653,0,0,0,0
2025-08-15 03:00:22,35.775978839656986,27.932543205457577,7.760435495012503,1.1277792530214386,0,0,0,0
2025-08-15 03:00:23,36.00952100781663,27.80499922575296,7.800938698041207,1.0972677241894093,0,0,0,0
2025-08-15 03:00:24,35.57923602194994,28.050596401590017,7.837955340334919,1.094672120157238,0,0,0,0
2025-08-15 03:00:25,35.56417712320988,28.13258219487082,7.78104214565462,1.1196767641336276,0,0,0,0
2025-08-15 03:00:26,35.32525320308438,27.672880276767145,7.783313539090168,1.128917208022276,0,0,0,0
2025-08-15 03:00:27,35.937579010183384,28.423279713923883,7.815280595631457,1.0993970374469106,0,0,0,0
2025-08-15 03:00:28,35.599907009120756,27.97042356031472,7.769143969695807,1.0768639910135214,0,0,0,0
2025-08-15 03:00:29,35.8488882456226,28.005654886883455,7.787344899402299,1.0467809115166362,0,0,0,0
2025-08-15 03:00:30,35.29953956301631,28.212464326976967,7.811928822751635,1.0794185072889446,0,0,0,0
2025-08-15 03:00:31,36.96279828761277,28.06996483937905,7.787314283046212,1.0814836326005612,0,0,0,0
2025-08-15 03:00:32,35.855879681197976,28.285940990173973,7.79528060025578,1.103211723589769,0,0,0,0
2025-08-15 03:00:33,35.558614140018086,28.086137249560547,7.8148837142063,1.0896455935658593,0,0,0,0
2025-08-15 03:00:34,35.971980614902364,27.816268787607868,7.808430921670731,1.120637989161543,0,0,0,0
2025-08-15 03:00:35,35.633258074260475,28.10845105756183,7.805336367925908,1.0816105018618793,0,0,0,0
2025-08-15 03:00:36,35.81928233579863,27.6568821378038,7.793217554414599,1.0982887649944117,0,0,0,0
2025-08-15 03:00:37,35.08552007882147,28.032567911732958,7.807401222305379,1.1355196232959068,0,0,0,0
2025-08-15 03:00:38,35.035449061143844,27.990031002806663,7.797525346398005,1.1102547564186491,0,0,0,0
2025-08-15 03:00:39,35.62951158774711,27.937564942818238,7.809156112198515,1.098198873749343,0,0,0,0
2025-08-15 03:00:40,36.26743795861138,27.96143874656832,7.79006135949764,1.0819416667419448,0,0,0,0
2025-08-15 03:00:41,35.757645604924136,27.43544528635071,7.796348620512409,1.0810030580985508,0,0,0,0
2025-08-15 03:00:42,35.54028491516861,27.835382527677712,7.780200844148959,1.0744816024114416,0,0,0,0
2025-08-15 03:00:43,35.51876268625752,28.027853470342336,7.799299847799875,1.0837697940265132,0,0,0,0
2025-08-15 03:00:44,35.38332947178238,28.04795691759922,7.783779982727423,1.1226699751623295,0,0,0,0
2025-08-15 03:00:45,35.35480285134121,27.691697457722213,7.77771907099676,1.093343351861232,0,0,0,0
2025-08-15 03:00:46,35.58633075871554,28.37971235225941,7.805173222957108,1.0595068079185632,0,0,0,0
2025-08-15 03:00:47,36.226605828059334,27.74014754553565,7.804254795517153,1.1530450787917936,0,0,0,0
2025-08-15 03:00:48,35.45811009432481,28.29083716015802,7.8156574746989715,1.109598955734355,0,0,0,0
2025-08-15 03:00:49,34.727002336511525,28.128158308561506,7.791377488608497,1.057791697984605,0,0,0,0
2025-08-15 03:00:50,36.0137030600698,27.80613180704686,7.808161056936735,1.0867445321827753,0,0,0,0
2025-08-15 03:00:51,35.46170974754529,28.532593267782854,7.811015951445473,1.1033265914848527,0,0,0,0
2025-08-15 03:00:52,35.79341242769772,27.641908950473056,7.808895476156632,1.1511377627989214,0,0,0,0
2025-08-15 03:00:53,36.28637229159898,28.275746252083,7.783486926343957,1.066756626252234,0,0,0,0
2025-08-15 03:00:54,36.39219197558724,28.300174695412892,7.802987269645423,1.1292812215806785,0,0,0,0
2025-08-15 03:00:55,36.627454994474625,27.798813937277007,7.807282805921093,1.1419845928091703,0,0,0,0
2025-08-15 03:00:56,35.44354065877515,28.4177395900193,7.800143569338158,1.081140370847763,0,0,0,0
2025-08-15 03:00:57,35.83853553113548,27.924986045620315,7.7582704468325785,1.091674591434193,0,0,0,0
2025-08-15 03:00:58,35.78640512841241,28.086608088783958,7.803209792479469,1.068910722578787,0,0,0,0
2025-08-15 03:00:59,36.803310529066124,28.078096551631365,7.844250620787944,1.093896165767591,0,0,0,0
2025-08-15 03:01:00,36.10423871797089,27.959707377558836,7.792799214624861,1.098902300769712,0,0,0,0
2025-08-15 03:01:01,35.72870651796392,28.243242481947934,7.7854384580428935,1.1197894999424711,0,0,0,0
2025-08-15 03:01:02,35.454112567873885,28.238046616165665,7.807466971194228,1.1327055041306135,0,0,0,0
2025-08-15 03:01:03,35.661341750208926,27.475440408028547,7.806247564209332,1.0775571180613506,0,0,0,0
2025-08-15 03:01:04,36.08822545275415,28.391302072863446,7.823854703308328,1.0409802480732202,0,0,0,0
2025-08-15 03:01:05,36.1783399937284,27.501252403589298,7.774842636881822,1.0993626566217127,0,0,0,0
2025-08-15 03:01:06,35.98969338911959,28.309763861302496,7.814627605051499,1.1088061258990594,0,0,0,0
2025-08-15 03:01:07,36.22102297067772,28.338011541048274,7.811808441225029,1.1074825306305514,0,0,0,0
2025-08-15 03:01:08,35.990403022430364,27.67271007093544,7.797157069261189,1.0901998025747288,0,0,0,0
2025-08-15 03:01:09,35.33338426239096,27.876755713613626,7.8067737463584335,1.103742562989918,0,0,0,0
2025-08-15 03:01:10,35.515140205112516,27.66828859945422,7.820589149631967,1.1454633442505675,0,0,0,0
2025-08-15 03:01:11,36.47425022905616,27.935523690913378,7.8174463076005685,1.1114520250688753,0,0,0,0
2025-08-15 03:01:12,36.011910094729565,27.907589714744276,7.777139613758525,1.0887989472499076,0,0,0,0
2025-08-15 03:01:13,36.36940577505659,28.233898159680802,7.816403163735109,1.0849940654871202,0,0,0,0
2025-08-15 03:01:14,35.111209338253815,28.393092623835884,7.798706227899349,1.0949044292696681,0,0,0,0
2025-08-15 03:01:15,35.9527819203962,28.418705143236988,7.80145748196031,1.1491021988549193,0,0,0,0
2025-08-15 03:01:16,35.57114271355378,27.83134959202651,7.801463939820033,1.0945009787142141,0,0,0,0
