ID,Channel,StartTime,EndTime,Duration
id_1,channel_12,2004-12-01 20:42:15.429000+00:00,2004-12-08 22:55:45.429000+00:00,612810.0
id_1,channel_13,2004-12-01 20:42:15.429000+00:00,2004-12-08 22:55:45.429000+00:00,612810.0
id_1,channel_14,2004-12-01 20:43:45.429000+00:00,2004-12-02 02:57:15.429000+00:00,22410.0
id_1,channel_15,2004-12-01 20:45:00.429000+00:00,2004-12-02 02:58:45.429000+00:00,22425.0
id_1,channel_16,2004-12-01 20:43:45.429000+00:00,2004-12-16 16:52:30.429000+00:00,1282125.0
id_1,channel_17,2004-12-01 20:45:00.429000+00:00,2004-12-08 22:55:45.429000+00:00,612645.0
id_1,channel_18,2004-12-01 20:45:00.429000+00:00,2004-12-08 22:55:45.429000+00:00,612645.0
id_1,channel_19,2004-12-01 20:47:03.429000+00:00,2004-12-08 22:55:45.429000+00:00,612522.0
id_1,channel_20,2004-12-01 20:45:00.429000+00:00,2004-12-08 22:55:45.429000+00:00,612645.0
id_1,channel_21,2004-12-01 20:45:00.429000+00:00,2004-12-02 02:57:15.429000+00:00,22335.0
id_1,channel_22,2004-12-01 20:45:00.429000+00:00,2004-12-02 02:57:15.429000+00:00,22335.0
id_1,channel_23,2004-12-01 20:45:00.429000+00:00,2004-12-02 02:58:45.429000+00:00,22425.0
id_1,channel_24,2004-12-01 20:43:45.429000+00:00,2004-12-16 16:52:30.429000+00:00,1282125.0
id_1,channel_25,2004-12-01 20:43:45.429000+00:00,2004-12-08 22:55:45.429000+00:00,612720.0
id_1,channel_26,2004-12-01 20:42:15.429000+00:00,2004-12-08 22:55:45.429000+00:00,612810.0
id_1,channel_27,2004-12-01 20:43:45.429000+00:00,2004-12-08 22:55:45.429000+00:00,612720.0
id_1,channel_28,2004-12-01 20:43:45.429000+00:00,2004-12-08 22:55:45.429000+00:00,612720.0
id_1,channel_29,2004-12-01 20:45:00.429000+00:00,2004-12-02 02:57:15.429000+00:00,22335.0
id_1,channel_30,2004-12-01 20:45:00.429000+00:00,2004-12-02 02:58:45.429000+00:00,22425.0
