type,timestamp,subsystem,value,flag,score,detail
anomaly,2025-01-01 00:00:00,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:01,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:02,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:03,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:04,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:05,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:06,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:07,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:08,EPS,0.0,0,0.0,
anomaly,2025-01-01 00:00:09,EPS,2.3311485597781125,0,0.43291082676752435,
anomaly,2025-01-01 00:00:10,EPS,1.2255855600104772,0,0.22759993387507513,
anomaly,2025-01-01 00:00:11,EPS,1.191507625095279,0,0.22127141958250143,
anomaly,2025-01-01 00:00:12,EPS,1.5028687644933323,0,0.27909339223829804,
anomaly,2025-01-01 00:00:13,EPS,1.7225461273103702,0,0.31988903709770816,
anomaly,2025-01-01 00:00:14,EPS,1.1154497401242753,0,0.20714693072190282,
anomaly,2025-01-01 00:00:15,EPS,0.6223480317369174,0,0.11557444497746422,
anomaly,2025-01-01 00:00:16,EPS,1.820900319311635,0,0.33815410836342463,
anomaly,2025-01-01 00:00:17,EPS,1.4382075731066182,0,0.26708535023446284,
anomaly,2025-01-01 00:00:18,EPS,1.3308750355254533,0,0.24715293649428438,
anomaly,2025-01-01 00:00:19,EPS,0.6496667477360736,0,0.12064772436148923,
anomaly,2025-01-01 00:00:20,EPS,2.454245444615403,0,0.45577079163930007,
anomaly,2025-01-01 00:00:21,EPS,1.8742911688615025,0,0.3480691679264469,
anomaly,2025-01-01 00:00:22,EPS,0.8209348811085387,0,0.15245343185542165,
anomaly,2025-01-01 00:00:23,EPS,1.5795356991066485,0,0.29333098593860757,
anomaly,2025-01-01 00:00:24,EPS,0.6353136627453602,0,0.1179822546453139,
anomaly,2025-01-01 00:00:25,EPS,1.1560149745003363,0,0.2146801825509628,
anomaly,2025-01-01 00:00:26,EPS,1.1486418518667114,0,0.21331094136648646,
anomaly,2025-01-01 00:00:27,EPS,1.136043210485349,0,0.21097128427613257,
anomaly,2025-01-01 00:00:28,EPS,0.8484738367552386,0,0.15756761130456917,
anomaly,2025-01-01 00:00:29,EPS,1.8689078224666753,0,0.34706944230673675,
anomaly,2025-01-01 00:00:30,EPS,5.384823884365343,1,1.0,
anomaly,2025-01-01 00:00:31,EPS,1.9162058401142494,0,0.35585301975759864,
anomaly,2025-01-01 00:00:32,EPS,0.28906837971604316,0,0.053682049018417034,
anomaly,2025-01-01 00:00:33,EPS,0.7555451674718975,0,0.14031009810099784,
anomaly,2025-01-01 00:00:34,EPS,1.6571978046388496,0,0.3077533899391712,
anomaly,2025-01-01 00:00:35,EPS,0.3339209871916197,0,0.06201149645044998,
